2025-05-07 13:34:50,492 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:34:50,541 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:54,542 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:35:54,589 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:55,187 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 13:35:55,257 - INFO - ✅ Skipping TCGA-5M-AAT4, already exists.
2025-05-07 13:35:55,257 - INFO - ✅ Skipping TCGA-5M-AAT5, already exists.
2025-05-07 13:35:55,257 - INFO - ✅ Skipping TCGA-5M-AAT6, already exists.
2025-05-07 13:35:55,257 - INFO - ✅ Skipping TCGA-5M-AATE, already exists.
2025-05-07 13:35:55,257 - INFO - ✅ Skipping TCGA-A6-2671, already exists.
2025-05-07 13:35:55,258 - INFO - ✅ Skipping TCGA-A6-2672, already exists.
2025-05-07 13:35:55,258 - INFO - ✅ Skipping TCGA-A6-2674, already exists.
2025-05-07 13:35:55,258 - INFO - ✅ Skipping TCGA-A6-2675, already exists.
2025-05-07 13:35:55,258 - INFO - ✅ Skipping TCGA-A6-2676, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2677, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2678, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2679, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2680, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2681, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2682, already exists.
2025-05-07 13:35:55,259 - INFO - ✅ Skipping TCGA-A6-2683, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-2684, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-2685, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-2686, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-3807, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-3808, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-3809, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-3810, already exists.
2025-05-07 13:35:55,260 - INFO - ✅ Skipping TCGA-A6-4105, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-4107, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-5656, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-5657, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-5659, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-5660, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-5661, already exists.
2025-05-07 13:35:55,261 - INFO - ✅ Skipping TCGA-A6-5662, already exists.
2025-05-07 13:35:55,262 - INFO - ✅ Skipping TCGA-A6-5664, already exists.
2025-05-07 13:35:55,262 - INFO - ✅ Skipping TCGA-A6-5665, already exists.
2025-05-07 13:35:55,262 - INFO - ✅ Skipping TCGA-A6-5666, already exists.
2025-05-07 13:35:55,262 - INFO - ✅ Skipping TCGA-A6-5667, already exists.
2025-05-07 13:35:55,262 - INFO - ✅ Skipping TCGA-A6-6137, already exists.
2025-05-07 13:35:55,262 - INFO - ✅ Skipping TCGA-A6-6138, already exists.
