2025-05-07 14:02:29,662 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 14:02:29,711 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 14:02:52,660 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 14:02:52,742 - INFO - ✅ Skipping TCGA-CK-4952, already exists.
2025-05-07 14:02:52,742 - INFO - ✅ Skipping TCGA-CK-5912, already exists.
2025-05-07 14:02:52,742 - INFO - ✅ Skipping TCGA-CK-5913, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-5914, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-5915, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-5916, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-6746, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-6747, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-6748, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CK-6751, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CL-4957, already exists.
2025-05-07 14:02:52,743 - INFO - ✅ Skipping TCGA-CL-5917, already exists.
2025-05-07 14:02:52,744 - INFO - ✅ Skipping TCGA-CL-5918, already exists.
2025-05-07 14:02:52,744 - INFO - ✅ Skipping TCGA-CM-4743, already exists.
2025-05-07 14:02:52,744 - INFO - ✅ Skipping TCGA-CM-4744, already exists.
2025-05-07 14:02:52,744 - INFO - ✅ Skipping TCGA-CM-4746, already exists.
2025-05-07 14:02:52,744 - INFO - ✅ Skipping TCGA-CM-4747, already exists.
2025-05-07 14:02:52,744 - INFO - ✅ Skipping TCGA-CM-4748, already exists.
